0873496272,0
034554143X,1
0399142517,2
099031619X,3
0316225932,4
0696233940,5
0738218332,6
0001711296,7
0140030174,8
038542289X,9
1580054455,10
1593094795,11
1574412213,12
037550835X,13
0688003397,14
0743498801,15
0764227947,16
1250078962,17
1742204155,18
1452615330,19
0312170467,20
0312850549,21
0007431783,22
0425201759,23
0373445954,24
0812973348,25
0756655293,26
0811854132,27
0553106244,28
1583332049,29
0544102576,30
0312272057,31
0385541295,32
B0007FPMZ6,33
1442362383,34
0307379736,35
0310421772,36
0753555166,37
0007466706,38
1413309127,39
1939578094,40
1476728887,41
0062455419,42
1563841487,43
080211783X,44
0062020013,45
1612625479,46
1118721470,47
1595551026,48
1629118087,49
0810998297,50
078521626X,51
0892280271,52
1942234007,53
0425261069,54
0547232535,55
0615766412,56
B0082QFEZ0,57
0486244571,58
1583942718,59
0091940184,60
1890159018,61
0142427306,62
0553250515,63
0375822313,64
0671624121,65
0345501543,66
1401687083,67
0851703003,68
1495209253,69
1534603948,70
1603582517,71
0606371192,72
149670794X,73
0060733950,74
0062413651,75
0889682860,76
1781082332,77
0399149783,78
0399172548,79
0816508658,80
084311164X,81
158516643X,82
0671793829,83
1478342773,84
067178496X,85
1940976006,86
0764211579,87
1510704728,88
1497478227,89
1481871986,90
0099271087,91
0375414371,92
1609076761,93
0877285470,94
1609618483,95
0375406921,96
0060562498,97
155204601X,98
B004EHZTFG,99
0062760513,100
0399176349,101
1450574483,102
1542048303,103
1780967187,104
0316848115,105
0743497325,106
0380791234,107
141699792X,108
1494237954,109
1742201385,110
0394461630,111
0385327072,112
0684826631,113
0758277342,114
0786863900,115
1622821564,116
0805094571,117
0373444575,118
1592572782,119
1410459756,120
1403387524,121
0984825614,122
0224074865,123
1629145785,124
1400206200,125
022407184X,126
0802854478,127
0911307451,128
1616550155,129
0743205790,130
1500342629,131
1742204910,132
0304363243,133
1503934713,134
0470499265,135
0375431268,136
1602582645,137
0743247639,138
0007224796,139
0385302967,140
006020883X,141
1600789293,142
0679721819,143
0898705258,144
0978592026,145
0310740835,146
0451232003,147
B000YAKSNK,148
1600592201,149
B01AZKLASA,150
0062218980,151
0307878376,152
1452109362,153
1442467312,154
1477805958,155
B000FBJF5A,156
1894928261,157
0786957972,158
1908117257,159
0373444427,160
0615741932,161
1629057223,162
B0007EW2NW,163
0152013059,164
1426205627,165
0061284742,166
1416545360,167
0786159987,168
0913299847,169
1890948209,170
0399171800,171
0373864701,172
0295976411,173
1402741537,174
0898799228,175
0446394777,176
